Rank,Name,Server,Region,Date,Duration,ReportID,ReportLink,HPS,HasteSummary,HasteGear,Spirit,Intellect,TotalHealers,nDruid,nPaladin,nHPriest,nDPriest,nShaman,RaidDamageTakenPerSecond,VampiricTouch,InnervateCount,Bloodlust,NaturesGrace,Trinket1,Trinket2,LifebloomUptime,LifebloomHPS,LifebloomPercentHPS,RejuvenationHPS,RejuvenationPercentHPS,RegrowthHPS,RegrowthPercentHPS,Rotation1,Rotation1Percent,Rotation2,Rotation2Percent,TankRotationPercent,RotatingOnTank
1,氢硫化钠,奥罗,CN,2022-07-18 08:33:57,1m 22s,ZgMwBWX6rc1TzvnV,https://classic.warcraftlogs.com/reports/ZgMwBWX6rc1TzvnV?fight=28&source=21&type=healing,3887.41,488,488,691,660,6,1,1,0,1,3,14643.46,Yes,2,No,Yes,Redeemer's Alchemist Stone,Shifting Naaru Sliver,0,0,0.0,100.2,2.58,3570.23,91.84,[0LB 0I 5RG],50.0,[0LB 1I 4RG],35.71,0.0,No
2,阿尔忒弥斯丶,范沃森,CN,2022-07-25 08:41:21,1m 28s,4w2QdDpFHkjvKz8M,https://classic.warcraftlogs.com/reports/4w2QdDpFHkjvKz8M?fight=40&source=9&type=healing,3698.53,417,337,751,649,6,1,1,0,1,3,13290.16,Yes,2,No,Yes,Redeemer's Alchemist Stone,Essence of the Martyr,9.68,30.59,0.83,0,0.0,3520.31,95.18,[0LB 0I 5RG],71.43,[0LB 0I 4RG],14.29,0.0,No
3,鶺鴒鳥,维希度斯,CN,2022-07-02 08:26:00,1m 24s,T7JR4FqXgjNwcVGr,https://classic.warcraftlogs.com/reports/T7JR4FqXgjNwcVGr?fight=65&source=225&type=healing,3550.4,349,349,796,672,6,1,1,1,1,2,16513.86,Yes,1,No,Yes,Glimmering Naaru Sliver,Redeemer's Alchemist Stone,19.41,167.2,4.71,26.2,0.74,2842.72,80.07,[0LB 0I 5RG],36.36,[0LB 1I 4RG],36.36,0.0,No
4,祭随,雷德,CN,2022-07-16 08:48:09,1m 8s,86XBcjtpgvACQDHr,https://classic.warcraftlogs.com/reports/86XBcjtpgvACQDHr?fight=37&source=33&type=healing,3545.96,387,387,756,633,5,1,1,0,1,2,14145.0,Yes,1,No,Yes,Essence of the Martyr,Redeemer's Alchemist Stone,90.45,627.03,17.68,114.96,3.24,2591.72,73.09,[1LB 0I 3RG],30.77,[1LB 0I 4RG],15.38,84.62,Yes
5,一杯马爹利,雷霆之击,CN,2022-08-16 08:01:29,1m 44s,rCXAfBknF7cqVhKt,https://classic.warcraftlogs.com/reports/rCXAfBknF7cqVhKt?fight=17&source=19&type=healing,3525.53,267,267,815,661,7,2,1,0,1,3,11548.37,Yes,2,No,Yes,Redeemer's Alchemist Stone,Essence of the Martyr,12.39,59.65,1.69,0,0.0,3285.52,93.19,[0LB 0I 5RG],60.0,[0LB 1I 4RG],26.67,0.0,No
6,阿基蕾拉,碧空之歌,CN,2022-08-18 07:52:59,1m 41s,Hvj9BazdXWbwVK6x,https://classic.warcraftlogs.com/reports/Hvj9BazdXWbwVK6x?fight=16&source=17&type=healing,3455.56,315,315,819,675,6,1,1,0,1,3,14364.62,No,1,No,Yes,Essence of the Martyr,Redeemer's Alchemist Stone,8.16,40.75,1.18,0,0.0,3042.64,88.05,[0LB 0I 5RG],53.85,[0LB 1I 4RG],23.08,0.0,No
7,小托马斯,雷德,CN,2022-07-09 07:29:40,1m 29s,KVCMP1w8vzAWXqgm,https://classic.warcraftlogs.com/reports/KVCMP1w8vzAWXqgm?fight=15&source=22&type=healing,3418.23,301,301,678,669,6,1,1,1,1,2,13817.04,Yes,1,No,Yes,Memento of Tyrande,Redeemer's Alchemist Stone,13.11,83.61,2.45,318.44,9.32,2907.55,85.06,[0LB 1I 4RG],50.0,[0LB 0I 5RG],25.0,0.0,No
8,我是小熊,辛迪加,CN,2022-08-16 08:49:36,1m 14s,JaAjZCY9cHdwBM3n,https://classic.warcraftlogs.com/reports/JaAjZCY9cHdwBM3n?fight=4&source=19&type=healing,3405.75,281,281,947,684,5,1,0,0,1,3,13304.9,Yes,1,No,Yes,Direbrew Hops,Redeemer's Alchemist Stone,41.14,241.73,7.1,0,0.0,2560.14,75.17,[0LB 0I 5RG],36.36,[0LB 2I 3RG],18.18,0.0,No
9,奔腾的羊驼,祈福,CN,2022-06-24 07:50:59,1m 20s,dJGF3H7rmN91YaVx,https://classic.warcraftlogs.com/reports/dJGF3H7rmN91YaVx?fight=15&source=3&type=healing,3399.36,234,234,807,644,6,1,1,0,1,3,15470.67,Yes,1,No,Yes,Darkmoon Card: Blue Dragon,Redeemer's Alchemist Stone,10.63,43.35,1.28,180.08,5.3,3113.51,91.59,[0LB 0I 5RG],45.45,[0LB 1I 4RG],27.27,9.09,No
10,哭笑交叉,萨弗拉斯,CN,2022-08-19 08:25:49,1m 9s,MTjm4B8HwR19bZ3W,https://classic.warcraftlogs.com/reports/MTjm4B8HwR19bZ3W?fight=16&source=9&type=healing,3385.09,361,361,850,698,5,1,1,0,1,2,15733.24,No,1,No,Yes,The Skull of Gul'dan,Redeemer's Alchemist Stone,34.34,144.43,4.27,106.9,3.16,2947.75,87.08,[0LB 0I 5RG],30.0,[0LB 1I 4RG],30.0,0.0,No
