Rank,Name,Server,Region,Date,Duration,ReportID,ReportLink,HPS,HasteSummary,HasteGear,Spirit,Intellect,TotalHealers,nDruid,nPaladin,nHPriest,nDPriest,nShaman,RaidDamageTakenPerSecond,VampiricTouch,InnervateCount,Bloodlust,NaturesGrace,Trinket1,Trinket2,LifebloomUptime,LifebloomHPS,LifebloomPercentHPS,RejuvenationHPS,RejuvenationPercentHPS,RegrowthHPS,RegrowthPercentHPS,Rotation1,Rotation1Percent,Rotation2,Rotation2Percent,TankRotationPercent,RotatingOnTank
1,丨照美冥丨,帕奇维克,CN,2022-07-01 07:46:03,1m 33s,ZyxQHdg4qB1DkVvj,https://classic.warcraftlogs.com/reports/ZyxQHdg4qB1DkVvj?fight=19&source=12&type=healing,3390.92,341,341,747,632,7,1,1,0,2,3,15678.22,Yes,1,Yes,Yes,Essence of the Martyr,Memento of Tyrande,10.14,31.35,0.92,64.92,1.91,3194.58,94.21,[0LB 0I 5RG],53.33,[0LB 1I 4RG],20.0,6.67,No
2,Mmd,沙顶,CN,2022-07-14 07:51:39,1m 9s,ZpC67LzNt8J2cbR9,https://classic.warcraftlogs.com/reports/ZpC67LzNt8J2cbR9?fight=27&source=4&type=healing,3363.26,292,292,769,643,6,1,1,0,1,3,17235.02,No,1,Yes,Yes,Redeemer's Alchemist Stone,Memento of Tyrande,75.32,541.23,16.09,152.01,4.52,1949.68,57.97,[0LB 0I 3RG],15.38,[2LB 2I 1RG],7.69,53.85,No
3,破曉丶,埃提耶什,CN,2022-07-01 21:53:03,1m 19s,PcmNyCRkQTKFD8vY,https://classic.warcraftlogs.com/reports/PcmNyCRkQTKFD8vY?fight=27&source=30&type=healing,3271.99,351,351,762,666,6,1,1,0,1,3,15117.0,Yes,0,Yes,Yes,Darkmoon Card: Blue Dragon,Redeemer's Alchemist Stone,99.42,697.95,21.33,289.43,8.85,2173.55,66.43,[1LB 0I 3RG],17.65,[1LB 0I 2RG],17.65,94.12,Yes
4,阿基蕾拉,碧空之歌,CN,2022-08-18 07:52:59,1m 19s,Hvj9BazdXWbwVK6x,https://classic.warcraftlogs.com/reports/Hvj9BazdXWbwVK6x?fight=16&source=17&type=healing,3187.0,315,315,819,675,6,1,1,0,1,3,16469.78,Yes,1,Yes,Yes,Essence of the Martyr,Redeemer's Alchemist Stone,34.34,200.39,6.29,0,0.0,2670.28,83.79,[0LB 0I 5RG],26.67,[0LB 1I 4RG],20.0,33.33,No
5,呆萌德,维希度斯,CN,2022-07-07 08:24:03,1m 14s,g3m6a4fBFcyvqAxd,https://classic.warcraftlogs.com/reports/g3m6a4fBFcyvqAxd?fight=28&source=208&type=healing,3131.83,669,349,800,663,6,1,1,0,1,3,17138.04,Yes,1,Yes,Yes,Essence of the Martyr,Redeemer's Alchemist Stone,97.46,515.05,16.45,240.57,7.68,2108.49,67.32,[1LB 0I 2RG],14.29,[1LB 0I 3RG],14.29,85.71,Yes
6,瞌睡丶丶,火锤,CN,2022-08-09 08:24:23,1m 25s,cyh4w3tb6X2KdVMN,https://classic.warcraftlogs.com/reports/cyh4w3tb6X2KdVMN?fight=31&source=10&type=healing,3126.49,435,435,638,666,6,1,1,0,1,3,15301.38,Yes,2,Yes,Yes,Memento of Tyrande,Redeemer's Alchemist Stone,41.0,119.23,3.81,256.28,8.2,2280.84,72.95,[0LB 1I 4RG],35.71,[0LB 2I 3RG],14.29,35.71,No
7,台式排骨大王,卓越,CN,2022-07-04 09:12:58,1m 17s,mwg3Nk1JD8LAjbcr,https://classic.warcraftlogs.com/reports/mwg3Nk1JD8LAjbcr?fight=23&source=7&type=healing,3123.21,329,329,766,678,6,1,1,0,1,3,15212.23,Yes,1,Yes,Yes,Memento of Tyrande,Redeemer's Alchemist Stone,24.85,201.35,6.45,0,0.0,2772.03,88.76,[0LB 0I 5RG],38.46,[0LB 1I 4RG],23.08,23.08,No
8,橘子味的猫,加丁,CN,2022-08-15 08:28:37,1m 34s,zQ3pV2tKZRBjbynY,https://classic.warcraftlogs.com/reports/zQ3pV2tKZRBjbynY?fight=18&source=14&type=healing,3116.38,329,329,728,689,6,1,1,2,0,2,15872.67,Yes,0,Yes,Yes,Glimmering Naaru Sliver,Darkmoon Card: Blue Dragon,92.06,587.42,18.85,347.82,11.16,1771.94,56.86,[1LB 2I 2RG],16.67,[0LB 0I 1RG],11.11,55.56,No
9,毛毛姐,德姆塞卡尔,CN,2022-07-16 08:15:39,1m 2s,gMraxCWGqdJHcVpZ,https://classic.warcraftlogs.com/reports/gMraxCWGqdJHcVpZ?fight=17&source=25&type=healing,3104.86,305,305,648,688,5,1,1,0,1,2,14061.91,Yes,0,Yes,Yes,Memento of Tyrande,Scarab of the Infinite Cycle,64.06,224.66,7.24,0,0.0,2608.83,84.02,[0LB 1I 4RG],27.27,[1LB 0I 4RG],18.18,36.36,No
10,Me,奥罗,CN,2022-07-14 08:22:28,1m 22s,Xd6kG34w1P2ZaxnD,https://classic.warcraftlogs.com/reports/Xd6kG34w1P2ZaxnD?fight=11&source=15&type=healing,3102.16,177,177,827,678,7,1,1,1,1,3,15801.34,No,1,Yes,Yes,Darkmoon Card: Blue Dragon,Scarab of the Infinite Cycle,89.65,687.74,22.17,317.94,10.25,1652.1,53.26,[1LB 0I 1RG],14.29,[1LB 1I 2RG],14.29,78.57,Yes
11,坐墙头等绿杏,莫格莱尼,CN,2022-08-25 07:40:32,1m 22s,PhL7b8Gp2YKnfvy9,https://classic.warcraftlogs.com/reports/PhL7b8Gp2YKnfvy9?fight=23&source=4&type=healing,3091.85,330,330,608,622,7,1,1,2,0,3,15638.16,Yes,1,Yes,Yes,Darkmoon Card: Blue Dragon,Memento of Tyrande,31.46,104.04,3.36,59.38,1.92,2864.07,92.63,[0LB 0I 5RG],57.14,[0LB 2I 3RG],14.29,21.43,No
12,打杂德,厄运之槌,CN,2022-07-04 08:03:14,1m 23s,XQWa1mDYhC73wBKy,https://classic.warcraftlogs.com/reports/XQWa1mDYhC73wBKy?fight=27&source=13&type=healing,3087.8,242,242,839,689,6,1,1,0,1,3,15411.36,Yes,1,Yes,Yes,Alchemist Stone,Memento of Tyrande,24.97,128.22,4.15,64.98,2.1,2677.5,86.71,[0LB 1I 4RG],35.71,[0LB 0I 5RG],28.57,14.29,No
